name,content,category,labels
瑶里景区景区,烟雨如约而至 白天人比较多，来自祖国各地的摄影爱好者和被摄影爱好者都很忙碌,拍照,10
瑶里景区景区,这个套票还是值得的，如果不是买了这个套票我们也不知道绕南古窑遗址的美丽和汪湖森林公园的漂亮，这些地方宣传的太少了，很多人都没有听过这些地方,门票/风景,1|0
瑶里景区景区,夜景不错，苦槠豆腐第一次吃，觉得满好吃的。河边炒菜刷锅，很不卫生，也影响景色。印象最深的是窑址，古人用水力代替人力研磨瓷器的土胚。希望当地官员好请专业人员规划景区，充分利用现存木雕古建筑。,风景/餐饮服务/建筑,0|3|9
瑶里景区景区,瑶里景色不错，这个票是通票，两天可用，瑶里景区本身是免费的，不怎么大一个小时就能逛完，但如果想去单独的景区，每一个离的都不近，花费也不少，但景色是真的不错，汪湖值得一去,风景/门票,0|1
瑶里景区景区,汪湖是瑶里的一个4A级景区，冰臼地质奇观，有许多一千多年的大树。,风景,0
瑶里景区景区,保存很完整的一个古镇，有山有水，但交通做得不好，人并不多。,交通,2
瑶里景区景区,瑶里古镇是一个有红色记忆的地方，也是摄影爱好者的天堂。,拍照,10
瑶里景区景区,瑶里是在江西省景德镇市，古时的“瑶里釉”就是在这里，古镇景色优美，是个小众的景点，串街走巷的感觉非常舒适，河边的午、晚餐也是很惬意的，夜景更是美哒,风景,0
瑶里景区景区,很好的，这个是个很好的机会，门票非常的划算，很优惠，欢迎大家来玩，这个可以去很多的地方，景色非常的美丽，风景也很好，欢迎各位,门票/风景,1|0
瑶里景区景区,风景相当优美，闪红星的拍摄地值得一去,风景/拍照,0|10
瑶里景区景区,特色陶瓷特别多，小桥上拍照特出片,拍照,10
瑶里景区景区,景点很美，环境很好，可以去看。,风景,0
瑶里景区景区,景色秀美，环境优雅，性价比高。,风景,0
瑶里景区景区,宛如仙境的景色，非常不错的地方,风景,0
瑶里景区景区,信步走在古镇青石铺路的街巷中，随处可见数百幢依山傍水的明清徽派古建筑，飞檐翘角，粉墙黛瓦，掩映在青山绿水之中，仿佛穿越到明清时代，时光流倘在河水中，古老的故事似乎都揉进了陶瓷里。,建筑,9
瑶里景区景区,瑶里古镇是景德镇陶瓷的发祥地，盛产制瓷的原料——高岭土，此地原来叫做“窑里”，后来才改叫“瑶里”。瑶里古镇在景德镇市东北50公里处，是个山清水秀的好地方。,风景,0
瑶里景区景区,地处江西省境内，是一处不太出名的景区，但景色却十分秀丽旖旎，有历史年代感的古民居随处可见，村民纯朴热情，商业氛围不重，性价比不错！,风景/建筑,0|9
瑶里景区景区,地处江西省境内，虽然是一座比较小众的景点，但这丝毫不影响它那宛如世外桃源般的美景，历史的印记深烙在此，村民纯朴善良，性价比不错！,风景,0
瑶里景区景区,非常适合一家老小前去游览观光的一处小众景点，类似古镇的风韵，小桥，小溪，山景及低矮的特色古民居吸引了各地的游客，当地小吃众多！,风景/餐饮服务,0|3
瑶里景区景区,虽然不是一个热门的景点，但正因如此才没有过度开发，商业氛围不重，当地人十分友好热情，纯朴友善，小桥流水，古老的民宿随处可见！,建筑,9
瑶里景区景区,古老的祠堂，斑驳的墙壁，青石板的小路，幽深的小巷，精致的院落，无不在叙说着曾经的故事与历史的沧桑。青山环抱，流水潺，鸡犬相闻.漫步其中，时光倒流，如走的画卷。在这样一个美好的季节，能享受这样一段静谥又安详的慢时光，人生莫过如此。,历史文化,8
瑶里景区景区,时间在这里仿佛变得特别慢，流淌不息的昌江滋养着乱石、古道与人家，一抔清茶就着泉水在青花瓷间悠然舒展，几声蝉鸣，几声鸡叫，晨昏之间，日子便这么缓的翻篇而过，数百年前的古窑、作坊再难复制往日的华彩，碧草与苍竹却潋滟了古镇上一世的流光，景德镇，就是在岁月的优待中，用执着与求精写就了千年瓷都的美名吧,历史文化,8
瑶里景区景区,游”瑶里古镇，看水墨江南” 瑶里，古名”窑里”，有着两千多年的历史，是瓷都景德镇的发祥地，昔日徽饶古道上的瓷茶重镇。素有:”瓷之源，茶之都，林之海”之美称。 瑶里，国家级名胜风景区，中国历史文化名镇，是国家矿山公园，国家森林公园，国家重点文物保护单位，国家自然与文化双遗产。 走进瑶里古镇，依山傍水，粉墙黛瓦，马头高翘，清一色的徽派建筑:走进瑶里原始森林，只见古木参天，古藤缠绕，郁葱，遮天蔽日，宛若走进了一帘幽远飘渺的梦乡……,风景/历史文化/建筑,0|8|9
瑶里景区景区,这个景区太坑爹了，是我见过最差的古镇，古镇里面的垃圾到处都是，家户全都是吃饭住宿，完全没有规划，风景好一点的就是汪湖，不过90一张门票实在是抢钱啊，据村民说原来才15～山里去多了这种景点太普通了，总之大老远跑去实在不值！,风景,0
瑶里景区景区,首先声明不是点评，关于瑶里古镇我没有发言权。这次是偶然的机会来到瑶里，都快出发江西了，朋友圈有人晒出了瑶里，之所以说不是评论，网上太多对瑶里的褒奖，这也是直接导致我改变行程，直奔瑶里的原因。事实是，网上评论相当客观，无论是景点的自然原生态，还是人文特点都令人有回归自然回归田园的感觉，更难能可贵的，也是网上说的最多的-极少商业气息。想安静享受自然村落的，极力推荐大家可以去感受一下。,风景,0
瑶里景区景区,景区通票包括5个景点。最值得看的是汪湖景区、绕南景区和瑶里瓷茶古镇。汪湖景区是原始森林游览区，森林茂密，空气清新，还有壮观的以一水四瀑为代表的瀑布群。绕南景区有最原始的古窑遗址，感受陶瓷文化。瓷茶古镇实际上不需要门票，沿瑶河分布着数百幢明清古建筑，商业气息还没那么浓，土菜很好。梅岭景区就是一个度假村。可以单买汪湖景区、绕南景区的票。景点分散且距离很远，适合自驾。,门票/风景/建筑,1|0|9
瑶里景区景区,瑶里景区位于景德镇市，是景德镇古代三大窑区之一。由原始森林游览区汪胡景区、高岭国家矿山公园、绕南陶瓷主题园区、瓷茶古镇、东埠古码头游览区和梅岭休闲度假区等六个景区组成。六个景区一线串珠。最值得游览的是汪胡景区、绕南景区和古镇。汪湖生态游览区是瑶里自然景色醉美之处，原始森林茂密幽静，潭幽谷深，瀑布壮观。绕南陶瓷主题园区集中反映了景德镇悠久灿烂的陶瓷文化，保存了多处宋、元、明等时期的古窑遗址。瓷茶古镇荟萃了明清古建筑群和革命旧址等众多人文景观，一条逶迤清亮的瑶河贯穿东西，沿河错落有致地分布着数百幢明清古建筑。风景秀丽、环境幽静，典型的皖南风景！六个景区比较分散，适合自驾，也可以乘景交车。农家乐很好吃！,风景/历史文化/建筑/交通/餐饮服务,0|8|9|2|3
瑶里景区景区,出发之前看了别人的功略推荐瑶里景区。去过之后发现瑶里真的是个好地方。瑶里，一个类似西递宏村的古镇，但整体的商业气息没有宏村那么浓重，没有过度开发，这点个人非常喜欢，也许是因为他距离景德镇市区比较远的原因。整个小镇民风古朴，环境优美，背靠群山，民居沿瑶江两岸而建，明清时期的建筑保存良好。我们是自驾游，早上8点从浙江嘉兴出发，去的当天正好赶上倾盆大雨，全程高速开到江西已经是下午3点多，直接去了瑶里，沿省道一路开就到瑶里，路况不错，一个多小时的路上就碰到了一个红绿灯，真是天堂。因为到达瑶里时间比较晚了所以没有买门票就直接在镇里闲逛了一圈。暴雨刚过山里云遮雾绕的非常漂亮，空气清新怡人，山泉水顺瑶河而下气势磅礴，不愧瑶河飞渡。晚上就住在景区里的民宿，价格也很实惠，问了几家基本都是80一晚，标准的河景房，推窗就见瑶河。晚餐也是在住宿的房东家吃的，方便实惠。晚饭后可以在镇里散步，买点小工艺品，在河边坐着聊天，真的不错。我们第二天去玩了景德镇市区的古窑博览区，本来打算晚上要开车去安徽齐云山的，但因为太喜欢瑶里的好空气好景致，晚上又回到瑶里住了一晚。瑶里真的是很适合家人渡假小住，空气好水好。,风景/建筑/交通/门票/住宿/餐饮服务/购物,0|9|2|1|4|3|5
瑶里景区景区,瑶里景区联票成人携程买90，窗口票价150，注意！可以在携程买成人的，窗口买老人票和学生票！我当时以为节假日没有优惠就直接在携程上买了成人票，结果到了才知道不管是不是节假日都有学生和老人的优惠的，然后呢玩四个景点最好包车上去，价格平摊下来也不贵，因为各个景点太远了…根本没法走，除非你是自己驾车的，那我没话说～当地特产就是那个豆腐还有笋干咯～～景点自己慢逛了～是在太大啦～景点基本就是绿色嗒～～超级凉快～河水瀑布什么的都是超级清澈透明凉快～就是注意有些虫子什么的,门票/风景,1|0
瑶里景区景区,值得一看，景区很大，景点很分散。买的套票选择其中几个景点，没时间全玩儿。和家人自驾去的，挺方便。,门票,1
瑶里景区景区,景德镇瑶里景区距离市区98公里，景色以峡谷山水为主，同时又有瓷器古镇民风淳朴的特色，整体效果很好,风景,0
瑶里景区景区,商业模式比较严重，但是景色不错。,风景,0
瑶里景区景区,商业气息浓，景点内容粗糙，可看性差，我买的套票，其中有一项参观高岭土国家地质公园，到了景点后竟然空无一人，无人接待，也不知到哪里参观，只好悻而归。,门票,1
瑶里景区景区,没有去过景德镇之前，还以为景德镇就只有陶瓷，到处都是陶瓷厂，到处都是烧着火，冒着烟的陶瓷窑，可真到了景德镇，发现还有像瑶里这样风光秀丽，景色宜人，空气清新的地方，真是不虚此行,风景,0
瑶里景区景区,【景色】很怡人很适宜 【趣味】很喜欢很不错 【性价比】很高很值得,风景,0
瑶里景区景区,【景色】山清水秀的好地方 【趣味】很有意思 【性价比】很高,风景,0
瑶里景区景区,景点很不错，可以去看，很值得的！,风景,0
瑶里景区景区,瑶里是景德镇陶瓷的发源地，这里也是典型的江南水乡，漂亮的跨河廊桥，在河水中倒映出美丽的倒影，缓流过的河水，几千年来养育了这里的人民。,风景,0
瑶里景区景区,瑶里景区是一处非常值得旅游的好地方，景色优美，性价比非常高，是打卡圣地。,风景,0
瑶里景区景区,瑶里景区的瑶里古镇的中心有一个高际禅林寺，她始建于清朝咸丰年间，有一百多年历史，这里的香火一直未断，在院子里经常插着一个巨大的高香。,建筑,9
瑶里景区景区,景色优美，环境优雅，性价比高。,风景,0
瑶里景区景区,风景如画的地方，值得去看啊,风景,0
瑶里景区景区,很安静的一个小镇，中间有清澈的小溪，目前不收费，但是收费站已经建好了,门票,1
瑶里景区景区,景色很美，要是人不多更好了,风景,0
瑶里景区景区,这里值得去看 【景色】美丽,风景,0
瑶里景区景区,景德镇除了瓷器，还有好山好水适合写生徒步,风景,0
瑶里景区景区,风景不错，挺好的,风景,0
瑶里景区景区,瑶里景区景色不错，很值得一看，有时间在另外一个季度再来。,风景,0
瑶里景区景区,值得一看，风景很美，古镇挺不错的。,风景,0
瑶里景区景区,【景色】很棒很不错 【趣味】趣味性强 【性价比】性价比很高,风景,0
瑶里景区景区,【景色】优美，空气清新，山间小溪，流水潺，值得一去,风景,0
瑶里景区景区,瑶里景区的历史悠久，景色优美，非常值得出游的好地方！,风景,0
瑶里景区景区,太美了，美不胜收，不虚此行，建议有机会一定要去一次,风景,0
瑶里景区景区,太值得一看了，四季不同有不同的美。环境保护的很好。,风景,0
瑶里景区景区,【景色】没得说 【趣味】特别好 【性价比】很不错,风景,0
瑶里景区景区,景德镇一个美丽的小镇 很有徽派风情，安静美好,风景,0
瑶里景区景区,春节假期间自驾去的，周边环境不错的，空气也好，包括了几个景点，如果只想去瑶里古镇逛，不去看故居什么的，就不需要买这个联票。联票里的是风景是后面的山水瀑布，要想把联票的景点好走一遍，我感觉是要在那里住一晚，否则有些匆忙。古镇依河而建，能看到竹排水中游，最后一个景点南山瀑布那边，还是可以走的，水清林幽，附近还有千年红豆杉、香榧林，还没有被开发破坏。,风景/门票,0|1
瑶里景区景区,已经三次带朋友来瑶里玩啦！五个景点够玩两天的。景德镇陶瓷的发源地很有历史意义。汪湖原生态的原始森林天然环境都值得一游。。还有瑶里镇的美食《碱水粑，鸭脚板，火笋》古镇的青石板街道和徽派建筑古色古香。清澈见底的小河流成群的鱼儿游来游去……,历史文化/风景/餐饮服务/建筑,8|0|3|9
瑶里景区景区,还不错吧，对汪胡的原始森林感觉最好，青山，绿水，天然氧吧，就是遗憾的没有看到大瀑布，失望，绕南也还不错的，体验了一把做瓷器活的感觉，好玩，我们住在农家小院里，感受下农村的自然气息，好美，短的一天时间的瑤里游玩，有点意思,风景/娱乐,0|6
瑶里景区景区,一个淳朴小镇，我是一个人出来散心的，很安静是个放松的好地方，话说好多从外地来的学生来这写生，住的地方叫花台小屋，一对50来岁的夫妻开的，他们自己的房子，人很好，在房间待久了就可以出来楼下坐，喝茶聊天，在这也认识了别的朋友，唯一感觉就是交通不是很方便，到景德镇市区后，然后要到曙光路短途汽车站坐车去瑶里，每天就7点半一班，还有下午2点半一班，班次就2趟过去的，错过了估计要等第二天了,交通,2
瑶里景区景区,看了别人的游记去景德镇的时候特地去了这个叫瑶里的古镇，从景德镇市区过去需要先到曙光路的短途东站，然后早上7:30 和下午14:30各有一部车到古镇的，票价15元。清明节游客多坐了加班车是20元，路上车程一个多小时，瑶里整个景区有150元的景点连票的，我不想去景点只是逛古镇没有买票，这边是潘东子的家乡，红色景区现在却也有点商业化卖同质化的商品的趋势。这里的特色菜有碱水粑，既然来了就吃吧，古镇晚上没有什么灯光，很安静，早上有雾的话挺美的，有条件还是住一晚比较好。另外清明时分可以买到毛峰茶，400-600一斤的价格还是比商店便宜。,交通/门票/餐饮服务/风景/住宿/购物,2|1|3|0|4|5
瑶里景区景区,如画一般的自然生态，吸引无数学生来写生,风景,0
瑶里景区景区,瑶里景区的景色壮丽优美，性价比非常高。,风景,0
瑶里景区景区,景色很美，空气清新，环境不错拍照不错！,风景/拍照,0|10
瑶里景区景区,景色很美，建筑很有特色，，环境很好。,风景/建筑,0|9
瑶里景区景区,"这里值得去
【景色】  美丽
【趣味】  浓",风景,0
瑶里景区景区,景色非常不错的地方，值得一游的！,风景,0
瑶里景区景区,景色优美，趣味十足，性价比超高。,风景,0
瑶里景区景区,建筑古色古香，天然与人工完美结合,建筑,9
瑶里景区景区,景色是真的不错，文化气息浓重。,风景/历史文化,0|8
瑶里景区景区,景色很美，拍照不错，值得游览。,风景/拍照,0|10
瑶里景区景区,风景非常不错，值得一游的地方！,风景,0
瑶里景区景区,江西古镇，古建筑、水、桥，宁静、安逸，买了当地的正宗碱水粑，慢生活,建筑/购物,9|5
瑶里景区景区,旁边的老镇是不要门票的，沿着小河散步，看老建筑，风景美的，农家午餐做的味道也不错，价格实惠。商业化不严重，挺不错的，开车再往山上有个观景徽饶古镇那，可以看到不错的景色，还有瀑布。,门票/建筑/风景/餐饮服务,1|9|0|3
瑶里景区景区,漫步在清晨的瑤裡古鎮，隻見到古建築群保存如初，獨具徽派特色- - 其飛檐翹角、粉墻黛瓦，掩映在煙霧青山綠水間⋯ 瑤河兩岸，依稀可辨的古窯址、蒼涼厚重的徽州古商道，無不展示出古鎮昔日的輝煌和幾進完美的安居環境⋯,建筑/风景,9|0
瑶里景区景区,古镇游人不多，镇子也不大，却别有一番风味，镇内有民宿，有当地特色小吃，碱水粑，苦株豆腐，溪水鱼是必吃的三道菜，口味不错，看好，吃好，走时还可以带上点回来送盆友，古镇宾馆是家很有特色的酒店，女老板人也漂亮，能干，房间装修典雅复古，值得去玩的美丽宁静的古镇,住宿/餐饮服务/购物,4|3|5
瑶里景区景区,门票是个大连票，三个景区之间是需要乘车的。黄金周到瑶里，人多是必须滴，如果平日，瑶里应该多一份恬静。 因为黄金周，也让三个景区之间的道路拥堵起来，不得已把游玩的时间留在了堵车的路上。 在瑶里古镇，比较喜欢的是瑶河，一座木桥横跨瑶河，河边古木参天，在河边走，打水漂很好玩。 瑶里到汪胡要开山路好几公里路，汪胡是原始森林，古木参天，较多的是野酸枣树，沿着木栈道，一路往上爬就是瀑布群了，此地景色还是很不错的。 到景德镇游玩，可以留一个整日早点赶到瑶里，玩到太阳落山回。,门票/交通/风景,1|2|0
瑶里景区景区,瑶里古镇是景德镇瓷器的发源地，这里盛产高岭土，一条美丽的小河穿镇而过，古镇山清水秀，人杰地灵，有多条漂亮的木桥，这里也是陈毅战斗过的地方。,风景,0
瑶里景区景区,瑶里古镇位于江西省景德镇市浮梁县，这里是景德镇陶瓷的诞生地，瑶里古镇出产高岭土，有保存完好的古窑，这里山清水秀，有一条小河穿镇而过。,风景,0
瑶里景区景区,在瑶里景区有一处中西合璧的景点-狮冈胜揽，她采用西洋外形，有西式的门楼和雕刻，以及西式外窗。但是内部却百分百的为徽式风格，雕梁画柱。,建筑,9
瑶里景区景区,瑶里景区位于江西景德镇市浮梁县，是景德镇陶瓷的发源地，在瑶里博物馆里展出了许多珍贵的瓷器，展示了景德镇陶瓷悠久的历史和艺术水准。,历史文化,8
瑶里景区景区,景区很江西古镇，古建筑、水、桥，宁静、安逸，买了当地的正宗碱水粑，慢生活闲，适合住一晚,购物/住宿,5|4
瑶里景区景区,如果你喜欢慢生活，可以来瑶里，如果你喜欢摄影，写生可以来瑶里.推荐古镇宾馆，老板很热情，自制地图给我们。民间饭店，饭菜美味，价格公道，店是夫妻店，人都很热情。,拍照/住宿/餐饮服务,10|4|3
瑶里景区景区,在景德镇市浮梁县瑶里古镇里有程氏和吴氏两个大家族，程氏宗祠里的戏台非常漂亮，而吴氏宗祠则以祠堂前惟妙惟肖的狮子而名闻遐迩。,建筑,9
瑶里景区景区,其实真正的古城，不需要门票。只是一些可看可不看的景点需要门票,门票,1
瑶里景区景区,自驾游到景德镇 准备玩儿三天 驱车一小时从景德镇市内到了瑶里 有些失望吧～ 门票是去几个祠堂才需要的 光在村子里逛是不需要门票的  整体的风景也就是一个看老房子的地方 村里稀愣的剩点老年人 到处都是民宿酒店和农家菜 但是不推荐在这里吃住 很贵 又什么都没有 随便进了一个很小的农家菜馆 红烧肉要88  小菜三四十 关键是拍了半天 真的没有什么太特色的地方 莫不如去宏村 也比这好看 临近黄昏靠着天空拍了几张独木桥的照片 还是挺出片儿的 自驾的话 路上要慢点开 伸手不见五指 而且会有各种电动车出没 一定要注意！,门票/风景/餐饮服务/拍照/交通,1|0|3|10|2
瑶里景区景区,古镇中的建筑是典型的徽派建筑风格，留存至今的有明清时期发展繁荣的古商业街，还有各种徽式风味的古道，还有反映瑶里文化的风土人情等节目。景区中现存的古街道是古时古镇中发展最繁荣的地方，整条古街长有千米有余，分为上中下三个不同的街道，曾经在古街巷的两旁整齐地分布着各式销售商品的店铺，这些古商铺至今为止仍保存完好，现在还被评为最具特色的明代商店。,建筑/历史文化/购物,9|8|5
瑶里景区景区,瑶里风景区包括：瑶里古镇、饶南遗址公园，还有西面的汪湖森林公园和东面的高岭森林公园和东埠码头。其中：汪胡自然风景区景色最漂亮。整个园区就是一个很大的森林公园。有很多几百年的绿树植被，畅游其间，身心愉悦。,风景,0
瑶里景区景区,瑶里境内现开发有五大景区、数十处景点，分为自然风光和人文景观两大类：汪湖生态游览区、瓷茶古镇游览区、梅岭休闲度假区、高岭土矿遗址园区和绕南瓷器主题园区。 相对交通不方便，适合自驾，全部游完需要一天时间，古镇门口有不少饭店，味道还不错。,交通/餐饮服务,2|3
瑶里景区景区,古镇逛不收门票，进几个景点要买票，120元/人。 夜景也不错，晚上几乎没什么游客，本地人也睡得早，街上非常安静。 瑶里“高岭“是闻名世界的陶瓷圣地，是世界“高岭土 “ 的命名地，现遗存古矿坑 127条，古窑址67座、水碓149乘、古作坊600处、古码头100个。,门票/风景,1|0
瑶里景区景区,是个值得去的地方……景色很不错……当地有很多山货和野果……最有特色的应该是当地的碱水粑和苦槠豆腐……去了可以去品尝下……不过就是交通不是很方便，携程上的地址应该更新一下，这次按着携程写的地址去……被告知改了……如果打黑车过去是很贵得……本来打算当天就反悔的，结果小孩和老人都想在那里住一晚，然后第二天才返回……从高铁站去瑶里要近些，从市区过去更远……打车的话！要是自驾去更方便,风景/交通/餐饮服务/住宿,0|2|3|4
瑶里景区景区,一路的山路盘山而上，打开车窗凉风习，空气清新，白墙黛瓦，苔痕树影，小桥流水，沿瑶河见临水浣衣。整个景区共五大景点，强推全自然景观的汪胡和瑶里古镇景点。总体来说性价比很高的一个游览景区，总算体验过江西的古镇风貌。,风景,0
瑶里景区景区,一共五个景点，门票可以玩两天。我们只玩了四个景点，最先去的汪湖，景色不错，唯一缺点，外地车牌会收十元停车费；第二个景点梅岭，个人感觉可以忽略不去，主要是张氏宗祠，只有一个房屋框架，里面堆放的全部是杂物，好像在翻新；第三个景点绕南，景色不错，带小朋友可以去玩水；古镇环境也不错，但只开发了三分之一。高岭因为走错路，没有去。所有景点自然环境很好，完全开发好可能还需要一段时间。还有，不管住哪，这些景点都是要开车的。,门票/风景/建筑/交通,1|0|9|2
瑶里景区景区,没有寻热门的景致凑热闹，反而收获了从未有过的惊喜，从景德镇市驱车到这里时间有点长，不过路旁的风景不令人失落，最终感受到最原始的村落，没有商业气息的浸染，最淳朴的气息，吃食住宿小玩意都是十分公道，女子在沟渠这边捶打洗衣服，男人在沟渠那边奋力刷碗，河边灯光闪烁，寻一河边美食，用陶瓷烧制的桌子上放着几碟当地美味，一边畅饮一边听着烟花爆竹声不断，天上水里相应照，魅力至极，听当地人讲每年初二初三两天彻夜舞龙灯，每到一户，主人就必会开心地准备爆竹和烟花迎接，你方唱罢我登场，烟花爆竹声在锣鼓阵中不显寂寞单调，不令人厌烦，使人流连忘返，听着远处传来锣鼓的声响，若隐若现，仿佛即将到来，又仿佛已经远去，只有主人放出耀眼的烟花和响亮的爆竹以及人群的欢呼方可确信是龙灯来了，欣然出去一起相迎，等不及看明天的烟火，因为下一站精彩依然等着我们！我一直在路上，很坦然也很欢喜.,交通/风景/餐饮服务/住宿/娱乐,2|0|3|4|6
瑶里景区景区,猴年春节，自驾江西，从景德镇到瑶里，时近傍晚，游客非常多，幸运的找了家住下，晚上大雨，清晨雨停，山间云雾缭绕，有如国画。镇上走不要门票，周围景点太远，没有去。,住宿/风景/门票,4|0|1
瑶里景区景区,总体上还是很值得去的。山清水秀，云雾缭绕，松涛阵，飞流直下。山泉水清澈见底，山路两旁毛竹长势旺盛。汪湖生态旅游区内的古树参天，甚是少见。,风景,0
瑶里景区景区,总结：景点深藏山中，山路对新手司机极其不友好，建议新司机不要去。景区不收费，收费景点不值票价，建议进去随便逛一下就出来。总体景色一般，游玩乐趣差，没有重复游玩价值。,交通/门票/风景/娱乐,2|1|0|6
